u_id,parent_compositeterm,parent_public_id,child_compositeterm,child_public_id
"7088","bird",30061,"build",15
"7088","cricket",30017,"build",15
"791","anim",31703,"noorder dierenpark",247
"1446","world puls festiv",32536,"wpfmisc",904
"1507","sport photographi",33029,"marin",1818
"1950","person best",31880,"fav",872
"2173","british columbia",31963,"vancouv",1718
"2595","travelin",32071,"maryland deathfest dai",1307
"2595","travelin",32071,"maryland deathfest dai",1297
"2595","travelin",32071,"maryland deathfest dai",1269
"4615","summercas",33039,"mexico gent",1225
"4760","assort set",32971,"laumeier sculptur park",1541
"4967","natur shot",32089,"natur",46
"4967","scenic",32083,"sunset",70
"4967","scenic",32083,"natur",46
"5300","interesting",33625,"sky",947
"5300","natur world",33624,"sky",947
"5529","hawaii",33045,"hawaii dai on",822
"5950","summerflow",33146,"flower",608
"5982","anim",32882,"gorilla",466
"5982","anim",32882,"lion",465
"5982","anim",32882,"pet",105
"6085","famili",32259,"maya",1102
"6085","famili",32259,"graduat",497
"6085","florida",32279,"south florida",468
"6085","other",32277,"dog",430
"6320","popular",32723,"most popular",404
"6320","type",32724,"most popular",404
"6428","holidai",32906,"minack theatr",1147
"6428","holidai",32906,"land end",1146
"6460","creativ",32734,"auto",329
"6460","natur",32699,"auto",329
"6713","flickr",32773,"flickr tool",69
"676","world tour",32772,"vancouv",92
"676","world tour",32772,"montréal",91
"676","world tour",32772,"philadelphia",88
"6770","famili",32228,"vancouv aquarium",187
"6770","travel",32482,"vancouv aquarium",187
"6770","vancouv",32495,"vancouv aquarium",187
"6874","botan garden",33648,"ny botan garden",1311
"7116","holidai",32173,"itali",149
"7116","holidai",32173,"bird",3
"1442","fotografia",34875,"bodi part",474
"1790","dai out",34593,"picnic",498
"2054","travel",35277,"edinburgh",1079
"2054","travel",35277,"cleveland garden",71
"2760","bruce peninsula",35107,"sunset",496
"3066","europ",34529,"london",180
